"Company name","Code",
"LIFE360 INC.","360",
"BETASHARES AUSTRALIA 200 ETF","A200",
"THE A2 MILK COMPANY LIMITED","A2M",
"ALCOA CORPORATION","AAI",
"AUSSIE BROADBAND LIMITED","ABB",
"ABACUS GROUP","ABG",
"GLOBAL X BATTERY TECH & LITHIUM ETF","ACDC",
"AUSTRALIAN CLINICAL LABS LIMITED","ACL",
"AUDINATE GROUP LIMITED","AD8",
"ADAIRS LIMITED","ADH",
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF",
"AMPLITUDE ENERGY LIMITED","AEL",
"AUSTRALIAN FINANCE GROUP LTD","AFG",
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI",
"AGL ENERGY LIMITED.","AGL",
"ANTIPODES GLOBAL VALUE ACTIVE ETF","AGX1",
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA",
"AMPOL LIMITED","ALD",
"ALKANE RESOURCES LIMITED","ALK",
"ARISTOCRAT LEISURE LIMITED","ALL",
"ALS LIMITED","ALQ",
"ATLAS ARTERIA","ALX",
"AMCOR PLC","AMC",
"AMP LIMITED","AMP",
"ANSELL LIMITED","ANN",
"ANZ GROUP HOLDINGS LIMITED","ANZ",
"AMOTIV LIMITED","AOV",
"APA GROUP","APA",
"EAGERS AUTOMOTIVE LIMITED","APE",
"ASPEN GROUP","APZ",
"ARB CORPORATION LIMITED.","ARB",
"ARENA REIT.","ARF",
"ARGO INVESTMENTS LIMITED","ARG",
"AUSTAL LIMITED","ASB",
"BETASHARES ASIA TECHNOLOGY TIGERS ETF","ASIA",
"ABACUS STORAGE KING","ASK",
"ASX LIMITED","ASX",
"AUB GROUP LIMITED","AUB",
"AURIZON HOLDINGS LIMITED","AZJ",
"BAPCOR LIMITED","BAP",
"BABY BUNTING GROUP LIMITED","BBN",
"BETASHARES AUS EQUITIES STRONG BEAR COMPLEX ETF","BBOZ",
"BETASHARES US EQY STRONG BEAR CCY H COMPLEX ETF","BBUS",
"BLACK CAT SYNDICATE LIMITED","BC8",
"BETASHARES AUSTRALIAN EQUITIES BEAR COMPLEX ETF","BEAR",
"BENDIGO AND ADELAIDE BANK LIMITED","BEN",
"BEGA CHEESE LIMITED","BGA",
"BELLEVUE GOLD LIMITED","BGL",
"BHP GROUP LIMITED","BHP",
"BANNERMAN ENERGY LTD","BMN",
"BETASHARES WESTERN ASSET AUS BOND ACTIVE ETF","BNDS",
"BOSS ENERGY LTD","BOE",
"BANK OF QUEENSLAND LIMITED.","BOQ",
"BEACH ENERGY LIMITED","BPT",
"BREVILLE GROUP LIMITED","BRG",
"BLUESCOPE STEEL LIMITED","BSL",
"BRAVURA SOLUTIONS LIMITED.","BVS",
"BWP GROUP","BWP",
"BRAMBLES LIMITED","BXB",
"CAR GROUP LIMITED","CAR",
"CATAPULT SPORTS LTD","CAT",
"COMMONWEALTH BANK OF AUSTRALIA.","CBA",
"COBRAM ESTATE OLIVES LIMITED","CBO",
"CREDIT CORP GROUP LIMITED","CCP",
"CODAN LIMITED","CDA",
"CHALLENGER LIMITED","CGF",
"COGSTATE LTD","CGS",
"CHARTER HALL GROUP","CHC",
"CHALICE MINING LIMITED","CHN",
"CHAMPION IRON LIMITED","CIA",
"CENTURIA INDUSTRIAL REIT","CIP",
"COLLINS FOODS LIMITED","CKF",
"CHARTER HALL LONG WALE REIT","CLW",
"CAPRICORN METALS LTD","CMM",
"CENTURIA CAPITAL GROUP","CNI",
"CHORUS LIMITED","CNU",
"CENTURIA OFFICE REIT","COF",
"COG FINANCIAL SERVICES LIMITED","COG",
"COCHLEAR LIMITED","COH",
"COLES GROUP LIMITED.","COL",
"COMPUTERSHARE LIMITED.","CPU",
"CHARTER HALL SOCIAL INFRASTRUCTURE REIT","CQE",
"CHARTER HALL RETAIL REIT","CQR",
"BETASHARES CRYPTO INNOVATORS ETF","CRYP",
"CAPSTONE COPPER CORP.","CSC",
"CSL LIMITED","CSL",
"CLARITY PHARMACEUTICALS LTD","CU6",
"CLINUVEL PHARMACEUTICALS LIMITED","CUV",
"CVC LIMITED","CVC",
"CIVMEC LIMITED","CVL",
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY",
"CATALYST METALS LIMITED","CYL",
"DIMENSIONAL AUSTRALIAN CORE EQUITY TRUST - ACTIVE ETF","DACE",
"DALRYMPLE BAY INFRASTRUCTURE LIMITED","DBI",
"DICKER DATA LIMITED","DDR",
"DIMENSIONAL GLOBAL CORE EQUITY TRUST UNHEDGED - ACTIVE ETF","DGCE",
"DIGICO INFRASTRUCTURE REIT","DGT",
"BETASHARES DIVERSIFIED ALL GROWTH ETF","DHHF",
"STATE STREET SPDR DOW JONES GBL REAL ESTATE ESG TILTED ETF","DJRE",
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP",
"DYNO NOBEL LIMITED.","DNL",
"DOWNER EDI LIMITED","DOW",
"DRONESHIELD LIMITED","DRO",
"DETERRA ROYALTIES LIMITED","DRR",
"DATA#3 LIMITED","DTL",
"DUG TECHNOLOGY LTD","DUG",
"DURATEC LIMITED","DUR",
"DEVELOP GLOBAL LIMITED","DVP",
"DEXUS INDUSTRIA REIT.","DXI",
"DEXUS","DXS",
"DEEP YELLOW LIMITED","DYL",
"EBOS GROUP LIMITED","EBO",
"ENDEAVOUR GROUP LIMITED","EDV",
"ELDERS LIMITED","ELD",
"EMERALD RESOURCES NL","EMR",
